,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
148,ROU,98,Daciana Hosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,GK,0,0
149,MNE,44,Katarina Dzaferovic,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,49.0,0,RB,0,0
150,NOR,8,Live Rushfeldt Deila,0,0,1,1,0,0,3,3,2,0,0,0,1,4,0,1,0,7,0,0,1,0,2,109.0,0,LB,0,0
151,SRB,13,Tamara Kocic,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,LW,0,0
152,ISL,23,Dana Björg Guðmundsdóttir,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,LW,0,0
153,ESP,17,Jennifer Maria Gutiérrez Bermejo,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,93.0,0,LW,0,0
154,UKR,36,Vanessa Lakatosh,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,27.0,0,LB,0,0
155,SVK,28,Barbora Lancz,7,2,4,4,0,0,0,0,0,0,0,0,3,5,0,1,0,2,0,0,0,0,5,80.0,0,RB,0,0
156,UKR,30,Anastasiia Tkach,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,LW,0,0
157,MNE,9,Durdina Jaukovic,12,3,11,6,0,0,6,0,0,0,0,1,18,24,1,8,0,16,0,6,9,0,16,330.0,0,LB,1,0
158,TUR,57,Bilgenur Öztürk,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48.0,0,RW,0,0
159,SVK,91,Réka Bízik,0,0,0,2,5,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,93.0,0,LW,0,0
160,UKR,33,Iryna Kompaniiets,0,0,1,0,0,0,0,1,0,0,0,0,5,5,0,3,0,2,0,1,0,0,4,94.0,0,LB,0,0
161,NOR,13,Kari Brattset Dale,0,0,19,9,0,0,0,0,6,0,0,0,1,0,0,3,0,6,0,5,4,0,1,289.0,0,LP,1,0
162,POL,88,Aleksandra Zych,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.0,0,RB,0,0
163,TUR,5,Beyzanur Türkyilmaz,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0,0,LW,0,0
164,MKD,41,Sara Stefanoska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,21.0,0,LB,0,0
166,MKD,15,Marija Jankulovska,1,1,1,2,0,0,1,1,0,0,0,0,6,5,0,2,0,9,0,1,0,0,3,123.0,0,LB,0,0
167,CRO,88,Kristina Prkacin,0,0,0,0,0,0,0,1,0,0,0,0,6,11,0,0,0,2,0,0,0,0,4,61.0,0,LB,0,0
168,ISL,14,Elísa Elíasdóttir,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,20.0,0,LP,0,0
169,SWE,8,Jamina Roberts,0,0,4,6,0,0,12,4,5,0,7,8,6,9,0,3,0,37,0,7,0,0,23,348.0,0,LB,0,0
170,TUR,18,Yagmur Bembeyaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.0,0,GK,0,0
171,ESP,67,Elba Álvarez Torrado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,CB,0,0
172,FAR,10,Súna Krossteig Hansen,0,0,0,2,0,0,3,1,0,0,0,0,1,2,0,0,0,8,0,0,1,0,8,132.0,0,CB,0,0
173,ROU,11,Mirabela-Gabriela Cotet,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.0,0,LP,0,0
174,FAR,8,Rannvá Olsen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,CB,0,0
176,SLO,3,Manca Juric,0,0,6,2,0,0,0,0,3,1,2,2,0,0,0,3,0,0,0,0,0,0,2,167.0,0,LP,0,0
177,NED,9,Larissa Nüsser,0,0,7,6,0,0,14,0,1,1,0,0,2,3,0,0,0,20,0,3,1,0,18,199.0,0,CB,0,0
178,SLO,31,Lana Puncer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,30.0,0,LP,0,0
179,ROU,15,Stefania Oana Jipa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,LP,0,0
180,DEN,23,Kristina Jörgensen,3,2,3,4,0,0,2,1,0,1,1,2,5,6,0,0,0,17,0,0,1,0,4,119.0,0,LB,0,0
181,NED,30,Rinka Duijndam,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,171.0,0,GK,0,0
182,NOR,46,Ane Cecilie Høgseth,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63.0,0,LP,0,0
184,ISL,12,Hafdís Renötudóttir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54.0,0,GK,0,0
186,GER,66,Dana Bleckmann,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.0,0,LB,0,0
187,HUN,28,Nikoletta Papp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2,0,0,252.0,0,RB,0,0
188,MNE,24,Tanja Ivanovic,0,0,7,4,0,1,2,1,0,0,0,0,0,4,1,1,0,4,0,7,1,0,9,265.0,0,RB,0,0
189,DEN,16,Althea Rebecca Reinhardt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,101.0,0,GK,0,0
190,SWE,29,Kristin Thorleifsdottir,0,0,1,0,0,0,0,0,2,0,3,4,0,4,0,3,0,11,0,3,5,0,8,211.0,0,LB,0,0
191,SWE,38,Elin Hansson,0,0,2,1,8,5,0,0,3,1,1,1,0,0,0,2,0,2,0,3,0,0,1,291.0,0,LW,0,0
192,SWE,49,Olivia Linnèa Josephine Löfqvist,0,0,9,3,0,0,0,0,1,0,1,2,0,0,0,2,0,3,0,5,2,0,3,234.0,0,LP,0,0
194,ROU,79,Corina Elena Romina Lupei,0,0,1,0,4,2,0,0,1,1,0,1,0,0,1,7,0,0,0,1,1,0,0,184.0,0,LB,0,0
195,ISL,8,Perla Albertsdóttir,12,1,2,1,3,3,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,131.0,0,LW,0,0
196,FRA,31,Lucie Granier,0,0,2,1,10,12,0,0,10,0,0,1,0,0,0,1,0,3,0,4,0,0,3,346.0,0,RW,1,0
197,MKD,22,Bojana Dinevska,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,LW,0,0
200,CZE,22,Markéta Šustácková,0,0,1,0,0,0,0,1,0,1,0,0,10,7,0,1,0,5,0,0,2,0,11,136.0,0,RB,0,0
201,SWE,1,Johanna Bundsen,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,6,0,0,0,0,8,339.0,0,GK,1,0
202,ROU,55,Oana Doina Bors,0,0,1,1,10,14,0,0,1,0,0,1,0,0,0,0,0,4,0,4,0,0,2,177.0,0,RB,0,0
203,HUN,6,Nadine Szollosi-Schatzl,0,0,0,1,13,7,0,1,4,3,1,1,0,0,0,0,0,1,0,4,0,0,2,271.0,0,LW,1,0
204,CZE,31,Alena Stellnerova,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,56.0,0,LP,0,0
205,ROU,70,Andreea - Cristina Popa,0,0,3,4,0,0,5,3,1,1,0,1,1,0,0,2,0,25,0,4,0,0,19,281.0,0,CB,0,0
206,TUR,21,Betül Yilmaz,0,0,1,0,0,2,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,45.0,0,LB,0,0
207,TUR,10,Gülcan Tügel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.0,0,CB,0,0
209,AUT,1,Lena Ivancok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,81.0,0,GK,0,0
210,FRA,10,Grace Zaadi Deuna,10,2,7,2,0,0,5,2,0,0,2,2,4,6,0,1,0,37,0,1,3,0,17,279.0,0,CB,1,0
211,SRB,34,Dunja Radevic,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,3,82.0,0,RW,0,0
212,TUR,16,Bugu Sönmez,0,0,2,1,0,0,1,1,0,0,0,0,6,6,0,0,0,2,0,0,0,0,5,26.0,0,LB,0,0
213,FRA,34,Léna Grandveau,0,0,6,3,0,1,3,2,1,0,2,2,1,4,0,3,0,10,0,2,0,0,12,136.0,0,CB,0,0
214,HUN,33,Nikolett Tóth,0,0,2,3,0,0,3,2,2,2,0,0,1,1,0,0,0,4,0,1,0,0,3,67.0,0,CB,0,0
215,CZE,96,Charlotte Cholevová,4,1,9,6,0,0,4,1,1,0,1,2,1,7,0,0,0,5,0,1,0,0,5,152.0,0,RB,0,0
216,UKR,81,Nhetely Erminia Minissale,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,RB,0,0
217,SVK,2,Monika Pénzes,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,81.0,0,LW,0,0
218,NED,48,Dione Housheer,6,1,7,3,0,0,14,5,2,0,1,2,10,17,0,3,0,35,0,8,0,0,18,329.0,0,RB,1,0
219,TUR,58,Merve Erbektas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,130.0,0,GK,0,0
220,NED,38,Yara Ten Holte,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,279.0,0,GK,1,0
221,MNE,34,Tatjana Brnovic,0,0,20,4,0,0,0,0,1,3,2,3,0,0,0,3,0,19,0,2,9,0,9,369.0,0,LP,1,1
222,ESP,52,Paulina Pérez Buforn,2,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,3,50.0,0,RW,0,0
223,SRB,10,Nikolina Vidic,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25.0,0,RW,0,0
224,CZE,4,Kristýna Königová,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,LW,0,0
225,ISL,27,Diana Dögg Magnusdottir,0,0,1,2,0,0,2,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,2,72.0,0,RW,0,0
226,AUT,6,Mirela Dedic,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,86.0,0,LW,0,0
227,ESP,6,Carmen Campos Costa,2,2,4,1,0,0,6,1,0,0,1,1,0,1,0,0,0,3,0,1,0,0,7,101.0,0,LB,0,0
228,HUN,66,Viktória Gyori-Lukács,0,0,2,0,35,16,0,0,3,2,2,2,0,0,0,1,0,4,0,1,0,0,6,391.0,0,RW,1,1
230,SLO,22,Tinkara Kogovšek,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0,LW,0,0
231,FRA,29,Onacia Ondono,0,0,9,1,0,0,0,0,2,1,0,1,0,0,0,2,0,3,0,1,0,0,2,124.0,0,LP,0,0
232,AUT,16,Petra Blazek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,GK,0,0
233,UKR,1,Judit Balogh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,0,GK,0,0
234,TUR,23,Yasemin Sahin,2,1,0,6,0,0,3,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,15,61.0,0,LW,0,0
235,NED,8,Lois Abbingh,3,0,2,6,0,0,1,2,3,2,0,1,7,11,0,1,0,15,0,3,0,0,16,274.0,0,LB,0,0
236,AUT,54,Santina Sabatnig,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,91.0,0,LB,0,0
237,SVK,32,Bella Olláhová,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75.0,0,GK,0,0
238,AUT,15,Claudia Wess,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.0,0,RW,0,0
239,UKR,8,Karina Soskyda,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0,1,0,3,0,0,1,0,5,67.0,0,LB,0,0
240,AUT,64,Ana Pandža,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,8,0,1,1,0,5,102.0,0,CB,0,0
241,MNE,15,Jelena Vukcevic,3,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,36.0,0,RB,0,0
242,SLO,16,Maja Vojnovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,321.0,0,GK,1,0
243,CRO,3,Paula Posavec,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0,0,LW,0,0
244,SRB,72,Jelena Agbaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,0,LP,0,0
245,GER,42,Katharina Filter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,251.0,0,GK,0,0
246,SVK,42,Karin Bujnohova,0,0,1,3,0,0,3,0,1,0,0,0,3,3,0,0,0,5,0,1,0,0,8,121.0,0,RB,0,0
247,HUN,5,Luca Csíkos,0,0,2,0,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,4,36.0,0,LB,0,0
248,POL,8,Monika Kobylinska,2,2,7,6,0,0,10,0,0,0,1,1,10,13,0,6,0,16,0,0,1,0,15,322.0,0,RB,1,0
249,POR,19,Patricia Andreia Da Silva Lima,0,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,10,69.0,0,CB,0,0
250,SUI,10,Daphné Gautschi,0,0,11,7,0,0,9,2,3,1,0,0,11,27,0,1,0,28,0,4,1,0,21,313.0,0,LB,0,0
251,SVK,14,Tatiana Šutranová,2,0,1,1,0,0,0,0,0,0,1,1,12,11,0,0,0,2,0,1,0,0,9,89.0,0,LB,0,0
253,NOR,16,Katrine Lunde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,159.0,0,GK,0,0
254,FRA,27,Estelle Nze Minko,0,0,6,4,0,0,3,6,10,3,5,5,2,5,0,2,0,21,0,9,1,0,16,277.0,0,LB,1,0
255,UKR,22,Kateryna Kozak,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85.0,0,RW,0,0
256,CRO,23,Katarina Pavlovic,5,1,1,1,0,0,1,2,0,0,0,0,2,6,0,1,0,3,0,0,0,0,3,56.0,0,RB,0,0
257,AUT,67,Johanna Reichert,3,0,7,1,0,0,4,0,0,0,0,0,6,4,0,1,0,4,0,1,0,0,4,61.0,0,LB,0,0
258,FAR,77,Jana Mittún,0,0,1,3,0,1,7,7,5,2,1,1,0,6,0,0,0,20,0,1,0,0,10,166.0,0,CB,0,0
259,CZE,33,Petra Kudlácková,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,GK,0,0
260,AUT,21,Antonija Mamic,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,78.0,0,GK,0,0
261,NED,24,Romee Maarschalkeweerd,0,0,6,4,0,0,0,0,1,2,0,0,0,0,0,6,0,2,0,1,7,0,6,169.0,0,LP,0,0
262,POL,17,Adrianna Górna,3,1,0,2,2,3,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,4,146.0,0,RW,0,0
263,SLO,10,Tjaša Stanko,8,7,9,4,0,0,18,4,2,1,5,6,6,10,0,4,0,41,0,4,0,0,26,360.0,0,LB,1,1
264,AUT,18,Kristina Dramac,0,0,0,0,2,3,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,3,31.0,0,RB,0,0
265,ROU,1,Bianca Tomina Curment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,312.0,0,GK,0,0
266,ESP,65,Anne Erauskin Martínez,0,0,2,2,6,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,120.0,0,RW,0,0
267,SUI,5,Lisa Frey,0,0,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,4,98.0,0,LB,0,0
268,MKD,32,Ivana Arsenievska,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,73.0,0,CB,0,0
270,MKD,10,Ana Marija Kolarovska,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,19.0,0,LB,0,0
272,POL,16,Adriana Placzek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,0,GK,0,0
273,POR,73,Joana Resende,1,1,1,2,0,0,1,0,0,0,0,0,11,10,0,0,0,2,0,1,0,0,5,83.0,0,LB,0,0
274,SUI,22,Nuria Bucher,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,3,0,0,1,0,5,65.0,0,CB,0,0
275,POR,1,Isabel Góis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,85.0,0,GK,0,0
276,GER,11,Xenia Smits,0,0,0,0,0,0,10,1,1,0,2,3,2,4,0,3,0,18,0,4,11,0,17,263.0,0,LB,0,0
277,TUR,2,Beyza Karaçam,0,1,1,2,0,0,4,1,0,0,0,0,0,5,0,0,0,3,0,2,0,0,3,69.0,0,RB,0,0
278,SWE,21,Evelina Eriksson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,GK,0,0
279,MNE,91,Ivona Pavicevic,0,0,0,0,9,7,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,3,203.0,0,LW,0,0
280,HUN,38,Petra Vamos,0,0,4,6,0,0,15,5,0,0,3,4,3,6,0,3,0,39,0,3,0,0,16,369.0,0,CB,1,0
281,NED,26,Antje Angela Malestein,4,2,3,3,12,12,0,0,3,0,1,1,0,0,0,1,0,3,0,2,0,0,6,303.0,0,RW,0,0
282,CZE,42,Katka Dresslerová,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,LP,0,0
283,SLO,13,Nusa Fegic,3,1,7,7,0,0,8,2,3,0,0,0,0,1,0,0,0,29,0,2,0,0,15,301.0,0,CB,0,0
284,ESP,14,Ona Vegue I Pena,6,2,0,0,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,80.0,0,LW,0,0
285,ROU,21,Alexandra Dindiligan,0,0,0,0,3,5,0,0,1,1,0,0,0,0,0,1,0,3,0,2,0,0,0,221.0,0,LW,0,0
286,GER,4,Alina Grijseels,14,4,5,3,0,0,5,3,0,1,0,0,3,5,0,0,0,14,0,1,0,0,5,159.0,0,CB,0,0
287,NOR,12,Silje Margaretha Solberg-Oesthassel,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,3,273.0,0,GK,0,0
288,NED,22,Zöe Sprengers,0,0,1,1,9,9,0,1,11,2,1,1,1,0,0,0,0,3,0,2,0,0,1,242.0,0,LW,1,0
289,ISL,2,Berglind Þorsteinsdóttir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,56.0,0,LB,0,0
290,FAR,88,Rakul S. Wardum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61.0,0,GK,0,0
291,HUN,19,Gréta Márton,0,0,0,2,13,3,0,0,1,0,1,1,0,0,0,1,0,4,0,4,0,0,2,216.0,0,LW,0,0
292,POL,49,Karolina Kochaniak-Sala,1,1,3,3,1,0,10,4,0,0,0,0,3,4,0,4,0,10,0,1,2,0,25,241.0,0,CB,0,0
293,GER,24,Sarah Wachter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,143.0,0,GK,0,0
294,NOR,23,Camilla Herrem,0,0,0,0,5,3,0,0,22,3,0,0,1,0,0,1,0,1,0,2,0,0,1,257.0,0,LW,1,0
295,POR,36,Mariana Ferraz Costa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58.0,0,LW,0,0
296,MKD,30,Jovana Kiprijanovska,4,1,1,1,0,0,2,1,0,0,0,0,2,8,0,4,0,6,0,0,1,0,6,102.0,0,RB,0,0
297,NED,16,Tamara Haggerty,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,2,0,2,0,1,1,0,1,89.0,0,LP,0,0
