,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPGoals,7mPMissed,7mPMissed,7mPMissed,7mPMissed,7mPMissed,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCGoals,6mCMissed,6mCMissed,6mCMissed,6mCMissed,6mCMissed,WingGoals,WingGoals,WingGoals,WingGoals,WingGoals,WingMissed,WingMissed,WingMissed,WingMissed,WingMissed,BTGoals,BTGoals,BTGoals,BTGoals,BTGoals,BTMissed,BTMissed,BTMissed,BTMissed,BTMissed,FBGoals,FBGoals,FBGoals,FBGoals,FBGoals,FBMissed,FBMissed,FBMissed,FBMissed,FBMissed,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOGoals,FTOMissed,FTOMissed,FTOMissed,FTOMissed,FTOMissed,9mGoals,9mGoals,9mGoals,9mGoals,9mGoals,9mMissed,9mMissed,9mMissed,9mMissed,9mMissed,RC,RC,RC,RC,RC,2M,2M,2M,2M,2M,2+2,2+2,2+2,2+2,2+2,AS,AS,AS,AS,AS,ST,ST,ST,ST,ST,BS,BS,BS,BS,BS,TO,TO,TO,TO,TO,Time,Time,Time,Time,Time
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.6363636363636362,4.159463470645748,0.0,0,13,0.696969696969697,1.0748502362203909,0.0,0,3,1.5151515151515151,1.1489454980875973,2.0,0,4,0.9090909090909091,1.1001033009346315,1.0,0,4,8.303030303030303,3.762353389874884,8.0,0,15,4.242424242424242,2.9158007372579386,4.0,0,11,0.15151515151515152,0.36410954062720957,0.0,0,1,0.030303030303030304,0.17407765595569782,0.0,0,1,4.0,2.817356917396161,3.0,0,12,0.8484848484848485,0.9055803429711565,1.0,0,3,1.5151515151515151,2.3994948963429277,1.0,0,10,1.0303030303030303,1.357498814107412,1.0,0,5,0.48484848484848486,1.6225214197586908,0.0,0,9,0.3939393939393939,1.2484839290964547,0.0,0,6,0.0,0.0,0.0,0,0,1.303030303030303,1.6860613957691548,1.0,0,7,0.0,0.0,0.0,0,0,2.121212121212121,2.175970699446223,2.0,0,10,2.0,1.8371173070873836,1.0,0,6,0.21212121212121213,0.4846116845975599,0.0,0,2,1.9696969696969697,1.4680950344930093,2.0,0,6,245.15151515151516,82.05909502156099,258.0,42.0,467.0
1,0.10232558139534884,0.5626574014845429,0.0,0,5,0.03255813953488372,0.1778912434640766,0.0,0,1,0.5395348837209303,1.1548636556017238,0.0,0,7,0.2558139534883721,0.6446408568992734,0.0,0,4,0.5162790697674419,1.214578545525758,0.0,0,7,0.4,1.0625309231343916,0.0,0,6,0.12093023255813953,0.3672060077383057,0.0,0,2,0.046511627906976744,0.23216659061703812,0.0,0,2,0.3581395348837209,0.8299962161099239,0.0,0,5,0.09302325581395349,0.3358594421438835,0.0,0,2,0.2186046511627907,0.6141842907213758,0.0,0,4,0.19069767441860466,0.4695463875287461,0.0,0,2,0.4511627906976744,1.1982019420515482,0.0,0,6,0.6186046511627907,1.5983718079429652,0.0,0,11,0.0,0.0,0.0,0,0,0.4418604651162791,0.8565941465133322,0.0,0,3,0.0,0.0,0.0,0,0,1.0232558139534884,1.5511282009994103,0.0,0,8,0.3581395348837209,0.8186587384079798,0.0,0,6,0.2186046511627907,0.6065282751664562,0.0,0,3,0.7627906976744186,1.1375131211760336,0.0,0,6,76.06046511627908,74.94590616070994,60.0,0.0,421.0
2,0.5454545454545454,1.2933395813657265,0.0,0,4,0.36363636363636365,1.2060453783110545,0.0,0,4,9.0,3.8470768123342687,9.0,4,14,3.5454545454545454,1.863525495593573,4.0,1,7,0.18181818181818182,0.40451991747794525,0.0,0,1,0.09090909090909091,0.30151134457776363,0.0,0,1,8.909090909090908,2.9139164522870407,8.0,4,14,4.181818181818182,1.9400093720485898,4.0,2,8,3.272727272727273,3.6080717590122595,3.0,0,13,0.45454545454545453,0.5222329678670935,0.0,0,1,3.0,3.0,2.0,0,9,2.4545454545454546,2.423371055519,2.0,0,8,15.272727272727273,7.963553341202771,16.0,0,30,13.727272727272727,6.72444658081108,15.0,0,22,0.0,0.0,0.0,0,0,1.1818181818181819,1.3280197150781927,1.0,0,5,0.0,0.0,0.0,0,0,31.545454545454547,10.424621205239415,31.0,15,53,3.1818181818181817,1.8340219092574561,2.0,1,6,2.727272727272727,4.9211971935883465,1.0,0,17,14.636363636363637,4.478230169893621,15.0,8,21,321.1818181818182,67.65030403748113,314.0,200.0,434.0
3,0.10526315789473684,0.6488856845230502,0.0,0,4,0.05263157894736842,0.3244428422615251,0.0,0,2,9.131578947368421,7.315925068076283,6.5,0,23,3.1052631578947367,2.6179161682550838,2.5,0,10,0.02631578947368421,0.1622214211307625,0.0,0,1,0.02631578947368421,0.16222142113076252,0.0,0,1,0.10526315789473684,0.3883070451442738,0.0,0,2,0.15789473684210525,0.369537021476632,0.0,0,1,0.5526315789473685,0.9211440718682284,0.0,0,4,0.10526315789473684,0.3883070451442739,0.0,0,2,0.42105263157894735,1.1060418580459077,0.0,0,6,0.23684210526315788,0.43085148418274616,0.0,0,1,0.23684210526315788,0.7510069106212363,0.0,0,4,0.21052631578947367,0.5280200004833,0.0,0,2,0.0,0.0,0.0,0,0,2.763157894736842,2.24733127648937,2.0,0,8,0.0,0.0,0.0,0,0,2.210526315789474,2.256017715294185,2.0,0,10,0.8157894736842105,1.0359814033052477,0.5,0,4,1.763157894736842,2.1109010568221205,1.0,0,8,2.1052631578947367,1.736561898169352,2.0,0,6,139.47368421052633,74.28605661684679,140.0,21.0,295.0
4,0.525,1.5522935884089015,0.0,0,7,0.25,0.5883484054145521,0.0,0,2,4.175,2.5307088294561226,4.0,0,10,2.875,2.186057216507874,3.0,0,10,0.15,0.5334935656738369,0.0,0,3,0.075,0.3499084129252932,0.0,0,2,4.925,2.5052508958749122,5.0,1,10,1.225,1.025007817356056,1.0,0,3,1.0,1.4849674087764368,0.5,0,7,0.15,0.42667467941194037,0.0,0,2,0.425,1.0098870208452997,0.0,0,5,0.375,0.6278779891274812,0.0,0,2,7.125,4.096198988555872,5.5,2,17,10.2,5.4687925822518,9.0,2,27,0.025,0.15811388300841897,0.0,0,1,1.375,1.7348243094375246,1.0,0,6,0.0,0.0,0.0,0,0,15.125,6.2723957717883785,15.0,3,34,1.375,1.4621287606844044,1.0,0,5,0.875,1.4708710135363803,0.0,0,5,8.975,3.3549618821633778,8.5,4,19,205.775,73.02528101052859,207.5,83.0,396.0
5,16.75,4.349329450233296,16.5,13,21,5.0,3.6514837167011076,5.0,1,9,1.0,0.816496580927726,1.0,0,2,2.0,2.0,1.0,1,5,11.5,5.0,12.0,5,17,9.0,3.1622776601683795,9.5,5,12,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,6.25,2.9860788111948193,6.0,3,10,1.25,0.5,1.0,1,2,1.75,2.362907813126304,1.0,0,5,0.75,0.9574271077563381,0.5,0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.25,0.5,0.0,0,1,0.0,0.0,0.0,0,0,1.0,1.1547005383792515,1.0,0,2,0.5,0.5773502691896257,0.5,0,1,0.0,0.0,0.0,0,0,3.0,1.4142135623730951,3.5,1,4,300.75,54.7258318042464,302.5,241.0,357.0
6,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,18.857142857142858,12.047524938461725,15.0,2,37,6.285714285714286,2.984084768360628,6.0,3,11,0.14285714285714285,0.37796447300922725,0.0,0,1,0.0,0.0,0.0,0,0,0.2857142857142857,0.7559289460184545,0.0,0,2,0.0,0.0,0.0,0,0,2.142857142857143,1.9518001458970664,2.0,0,5,0.42857142857142855,0.7867957924694431,0.0,0,2,1.4285714285714286,1.9880595947760096,0.0,0,5,1.7142857142857142,2.4299715851758235,0.0,0,6,0.14285714285714285,0.37796447300922725,0.0,0,1,0.2857142857142857,0.48795003647426666,0.0,0,1,0.8571428571428571,0.6900655593423541,1.0,0,2,5.142857142857143,2.5448360411214073,5.0,2,8,0.0,0.0,0.0,0,0,7.857142857142857,3.9339789623472154,7.0,2,13,4.0,2.8284271247461903,3.0,0,9,5.428571428571429,2.9358214555806383,5.0,1,9,3.2857142857142856,2.627691364061218,2.0,1,7,304.42857142857144,85.78045065331445,256.0,216.0,419.0
7,1.2272727272727273,2.5887059704413327,0.0,0,11,0.5151515151515151,0.9485604354846874,0.0,0,3,1.5151515151515151,1.7736743629879599,1.0,0,8,0.8333333333333334,0.9212588934267874,1.0,0,4,0.12121212121212122,0.41194292043554975,0.0,0,2,0.18181818181818182,0.6773044062615116,0.0,0,4,1.803030303030303,1.8499039224090863,1.0,0,8,0.8636363636363636,0.9427678339926475,1.0,0,3,0.4393939393939394,0.7869862256401438,0.0,0,4,0.015151515151515152,0.12309149097933274,0.0,0,1,0.3484848484848485,0.6443225241690027,0.0,0,3,0.3484848484848485,0.6677729748355693,0.0,0,3,3.4242424242424243,3.3238559908664285,2.5,0,12,5.015151515151516,4.404516647688699,3.5,0,16,0.0,0.0,0.0,0,0,0.3484848484848485,0.568193473073937,0.0,0,2,0.0,0.0,0.0,0,0,5.075757575757576,3.4297818098828485,5.0,0,15,0.5303030303030303,0.8080307871076156,0.0,0,3,0.10606060606060606,0.35642618736510795,0.0,0,2,4.2272727272727275,2.8865494681657253,4.0,0,13,84.43939393939394,41.70339546695441,76.5,5.0,222.0
8,0.7777777777777778,2.333333333333333,0.0,0,7,0.1111111111111111,0.33333333333333337,0.0,0,1,1.5555555555555556,2.4037008503093262,1.0,0,7,1.0,1.3228756555322954,1.0,0,4,0.1111111111111111,0.33333333333333337,0.0,0,1,0.3333333333333333,0.9999999999999999,0.0,0,3,0.1111111111111111,0.33333333333333337,0.0,0,1,0.1111111111111111,0.33333333333333337,0.0,0,1,0.1111111111111111,0.33333333333333337,0.0,0,1,0.1111111111111111,0.33333333333333337,0.0,0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.8888888888888888,1.763834207376394,0.0,0,4,0.6666666666666666,1.118033988749895,0.0,0,3,1.0,0.0,1.0,1,1,2.111111111111111,1.90029237516523,2.0,0,5,0.0,0.0,0.0,0,0,1.7777777777777777,1.3944333775567925,1.0,0,4,0.3333333333333333,0.5,0.0,0,1,0.4444444444444444,0.7264831572567789,0.0,0,2,1.8888888888888888,2.4209731743889917,1.0,0,8,90.44444444444444,33.32833295827708,101.0,19.0,138.0
9,14.25,8.261355820929152,11.5,8,26,5.25,1.707825127659933,5.5,3,7,6.0,4.96655480858378,4.5,2,13,2.5,2.6457513110645907,2.0,0,6,0.0,0.0,0.0,0,0,0.25,0.5,0.0,0,1,6.0,3.559026084010437,7.0,1,9,1.5,0.5773502691896257,1.5,1,2,0.75,1.5,0.0,0,3,0.5,0.5773502691896257,0.5,0,1,1.25,1.5000000000000002,1.0,0,3,1.5,1.7320508075688772,1.5,0,3,5.0,3.559026084010437,4.0,2,10,12.75,7.544313531837517,9.5,8,24,0.0,0.0,0.0,0,0,0.75,0.9574271077563381,0.5,0,2,0.0,0.0,0.0,0,0,19.0,9.763879010584539,16.0,11,33,1.5,1.2909944487358056,1.5,0,3,0.25,0.5,0.0,0,1,13.0,6.683312551921141,14.5,4,19,216.5,99.08077512817509,219.0,97.0,331.0
